"","Year","Hospital.Name","Hospital.County","Cesarean Births","Forceps Delivery","Total Births","Low/Outlet Forceps Delivery","Mid Forceps Delivery","Internal Fetal Monitoring","External Fetal Monitoring","Induction - Artificial Rupture of Membranes","Induction - Medicinal","Augmented Labor","Analgesia","Attended by Licensed Midwife","Vaginal Births","Vaginal Birth After Prior Cesarean","Total Births After Prior Cesarean","Breech Births Delivered Vaginally","Episiotomy","General Anesthesia (Vaginal)","Spinal Anesthesia (Vaginal)","Epidural Anesthesia","Local/Other Anesthesia","Paracervical Anesthesia","Pudendal Anesthesia","Primary Cesarean","Repeat Cesarean","General Anesthesia (Cesarean)","Spinal Anesthesia (Cesarean)","Epidural/Local Anesthesia","Fed Any Breast Milk","Fed Exclusively Breast Milk","Breast Fed Infants Supplemented w/Formula","X","ID","State","lon","lat"
"11","2009","Mercy Hospital","ERIE",875,15,2413,14,1,436,2396,1086,814,624,414,349,1535,18,371,2,331,1,4,1246,172,0,0,522,353,29,581,263,1432,1265,167,64,64," NY",-73.6314088,40.6874502
"12","2008","Brooks Memorial Hospital","CHAUTAUQUA",237,2,637,2,0,26,630,162,176,250,541,0,400,1,105,1,102,5,1,262,36,0,0,133,104,21,167,49,397,298,99,15,15," NY",-79.334641,42.4799884
"13","2008","Woman's Christian Association","CHAUTAUQUA",250,0,652,0,0,1,643,82,158,35,342,0,402,0,128,1,65,3,4,149,125,0,0,122,128,23,206,19,411,381,30,142,142," NY",-79.2336184,42.0915449
"14","2008","Westfield Memorial Hospital Inc","CHAUTAUQUA",21,1,73,1,0,11,49,12,19,17,15,1,52,0,10,0,4,3,1,24,4,0,0,11,10,0,16,5,49,46,3,139,139," NY",-79.569879,42.3287322
"15","2008","Arnot Ogden Medical Center","CHEMUNG",413,0,1338,0,0,256,1038,12,380,299,1275,429,925,18,188,1,51,1,5,652,112,0,0,243,170,15,337,61,827,762,65,4,4," NY",-76.8268806,42.1009135
"16","2008","Chenango Memorial Hospital Inc","CHENANGO",69,0,273,0,0,45,263,0,81,38,162,0,204,2,27,0,12,0,19,0,91,0,2,44,25,4,65,0,174,165,9,21,21," NY",-75.5278844,42.5411751
"17","2009","Crouse Hospital","ONONDAGA",1424,1,4130,1,0,144,4087,237,1045,907,1774,463,2700,110,727,21,272,5,17,1443,587,0,19,807,617,61,1186,177,2341,1803,538,29,29," NY",-76.138599,43.0414634
"18","2008","Champlain Valley Physicians Hospital Medical Center","CLINTON",291,10,966,9,1,331,894,242,203,230,238,344,675,7,116,0,125,11,6,369,88,37,3,182,109,18,196,73,720,644,76,20,20," NY",-73.470012,44.7014924
"19","2008","Columbia Memorial Hospital","COLUMBIA",160,0,486,0,0,1,480,136,105,170,239,23,326,6,69,0,24,2,115,0,0,0,0,97,63,3,157,0,298,251,47,23,23," NY",-73.7796082,42.2463701
"20","2008","Cortland Regional Medical Center Inc","CORTLAND",180,1,577,1,0,31,486,92,179,78,190,92,397,0,80,1,19,2,8,127,37,0,0,100,80,7,156,16,414,403,11,28,28," NY",-76.187635,42.608842
"21","2015","Mercy Hospital","ERIE",787,9,2449,8,1,99,2342,88,534,659,300,648,1660,38,397,0,117,3,1,1242,223,0,0,428,359,59,497,231,1719,1485,234,64,64," NY",-73.6314088,40.6874502
"22","2008","Vassar Brothers Medical Center","DUTCHESS",1029,2,2639,2,0,44,2618,51,294,333,987,6,1610,46,450,0,446,22,19,786,68,0,8,625,404,48,663,231,2109,1822,287,137,137," NY",-73.935626,41.6933485
"23","2008","Northern Dutchess Hospital","DUTCHESS",242,6,795,6,0,22,788,67,130,322,227,280,553,21,118,3,62,0,34,8,230,0,2,145,97,2,222,9,652,628,24,85,85," NY",-73.9128078,41.9356016
"24","2008","Women And Children's Hospital Of Buffalo","ERIE",1244,5,3139,5,0,496,3046,118,668,957,701,356,1895,51,528,10,19,5,6,1113,196,0,1,767,477,175,760,308,1535,1234,301,143,143," NY",-78.8751475,42.9098851
"25","2008","Mercy Hospital","ERIE",803,18,2385,18,0,309,2358,1126,731,596,419,404,1582,33,395,5,307,2,3,1288,171,0,0,441,362,36,528,237,1390,1219,171,64,64," NY",-73.6314088,40.6874502
"26","2008","Sisters of Charity Hospital","ERIE",842,32,2777,30,2,217,2746,229,939,1213,1669,77,1935,67,408,9,608,2,11,1525,193,0,1,501,341,27,555,260,1558,1423,135,109,109," NY",-78.848085,42.9284109
"27","2008","University Hospital","SUFFOLK",1419,1,3493,1,0,392,2376,268,463,682,415,515,2073,68,742,5,100,17,27,1535,131,0,0,745,674,35,910,454,2048,756,1292,135,135," NY",-74.4802507,40.6794061
"28","2008","Adirondack Medical Center-Saranac Lake Site","FRANKLIN",63,1,176,1,0,12,174,33,37,33,86,52,113,2,27,0,20,0,15,0,55,0,0,38,25,4,59,0,142,124,18,1,1," NY",-74.1312867,44.3294896
"29","2008","Alice Hyde Medical Center","FRANKLIN",81,0,272,0,0,137,245,70,50,125,197,0,191,5,46,0,39,2,0,109,39,0,0,40,41,15,53,11,129,111,18,3,3," NY",-74.2999876,44.8554151
"30","2008","Nathan Littauer Hospital","FULTON",164,0,447,0,0,28,442,163,88,80,254,120,283,2,64,0,76,5,19,75,78,0,1,102,62,2,152,10,208,183,25,73,73," NY",-74.3319185,43.0715875
"31","2008","United Memorial Medical Center North Street Campus","GENESEE",171,0,521,0,0,2,515,34,30,114,15,181,350,13,93,0,133,0,2,195,36,0,0,91,80,11,116,44,336,326,10,134,134," NY",-78.1787505,43.0054757
"32","2008","Samaritan Medical Center","JEFFERSON",412,6,1839,6,0,0,1833,3,454,478,1333,536,1427,46,219,2,99,1,1,872,108,0,0,239,173,23,305,84,1256,1154,102,105,105," NY",-75.9144928,43.9648367
"33","2012","Southampton Hospital","SUFFOLK",220,7,651,7,0,26,616,34,135,116,143,79,431,8,118,2,81,3,3,244,70,0,0,110,110,5,175,39,533,375,158,113,113," NY",-72.3801804,40.8851774
"34","2008","Carthage Area Hospital Inc","JEFFERSON",112,0,284,0,0,26,249,25,55,47,209,61,171,6,53,0,46,1,0,75,35,0,0,65,47,10,79,20,179,158,21,17,17," NY",-75.5940464,43.9871213
"35","2008","Lewis County General Hospital","LEWIS",101,0,277,0,0,26,268,27,65,85,190,0,176,1,44,1,89,0,77,0,54,0,0,58,43,11,90,0,164,155,9,54,54," NY",-75.4995852,43.7958179
"36","2008","Nicholas H Noyes Memorial Hospital","LIVINGSTON",123,0,348,0,0,63,299,3,70,94,210,0,225,0,50,0,82,1,2,103,65,0,0,73,50,16,83,24,218,185,33,82,82," NY",-77.699907,42.5528296
"37","2012","St Barnabas Hospital","BRONX",241,0,1149,NA,NA,62,832,51,207,186,NA,264,875,11,69,2,45,8,6,364,105,0,3,183,58,18,136,82,858,217,641,116,116," NY",-73.8902908,40.8536538
"38","2008","Oneida Healthcare Center","MADISON",136,2,504,2,0,27,503,251,168,139,200,0,368,0,70,0,198,1,3,39,212,0,0,66,70,9,127,0,294,242,52,90,90," NY",-75.6537588,43.0775315
"39","2008","Community Memorial Hospital Inc","MADISON",63,0,227,0,0,61,190,21,61,41,133,35,164,1,31,0,34,1,1,56,55,0,0,33,30,6,53,4,181,173,8,24,24," NY",-75.5457427,42.8126129
"40","2008","Highland Hospital","MONROE",905,46,3223,44,2,410,2687,80,846,1096,1682,523,2318,72,467,8,166,1,20,1571,313,0,0,510,395,31,606,268,2465,2106,359,44,44," NY",-77.6061769,43.1356875
"41","2008","Rochester General Hospital","MONROE",829,7,2495,7,0,319,1854,19,464,377,1547,592,1666,27,375,3,282,2,9,1060,220,0,1,481,348,36,654,133,1536,1338,198,102,102," NY",-77.5878398,43.1924948
"42","2008","Strong Memorial Hospital","MONROE",1094,36,3114,34,2,194,2182,137,979,290,1644,0,2020,91,522,26,129,7,18,1360,180,0,1,663,431,95,814,185,1718,1461,257,130,130," NY",-77.6256413,43.122593
"43","2008","Lakeside Memorial Hospital","MONROE",65,0,218,0,0,19,173,14,61,98,138,52,153,1,30,1,12,1,5,41,34,0,0,36,29,5,48,12,139,109,30,51,51," NY",-78.1916212,43.2385621
"44","2008","The Unity Hospital of Rochester","MONROE",406,6,1299,6,0,283,1264,33,464,357,791,18,893,28,215,3,105,11,6,489,124,0,0,219,187,40,299,67,897,697,200,132,132," NY",-77.7052192,43.1925238
"45","2008","St Marys Hospital at Amsterdam","MONTGOMERY",194,0,532,0,0,14,503,9,45,221,56,0,338,3,91,0,48,1,0,169,47,0,0,106,88,7,139,47,291,146,145,125,125," NY",-74.186919,42.9590091
"46","2012","Mount Sinai Hospital","NEW YORK",2261,111,6747,NA,NA,184,6699,912,1225,1442,NA,459,4308,184,896,41,745,10,124,3479,344,0,2,1549,712,102,1245,908,5601,1891,3710,70,70," NY",-73.9524454,40.7899484
"47","2008","Winthrop-University Hospital","NASSAU",1957,6,4578,5,1,224,4485,271,412,772,98,28,2621,1,723,3,524,4,89,2161,162,0,0,1235,722,22,1503,415,3221,771,2450,141,141," NY",-73.643129,40.7407591
"48","2008","Mercy Medical Center","NASSAU",619,0,1312,0,0,182,845,234,122,356,171,81,693,4,222,2,330,2,0,491,120,0,3,401,218,15,424,180,911,609,302,65,65," NY",-73.6314088,40.6874502
"49","2008","South Nassau Communities Hospital","NASSAU",727,0,1746,0,0,253,1120,231,300,375,324,24,1019,4,292,2,335,5,17,724,162,1,0,439,288,28,517,172,1257,989,268,112,112," NY",-73.6304234,40.6518657
"50","2008","Nassau University Medical Center","NASSAU",645,0,2161,0,0,290,1780,233,233,712,554,91,1516,28,291,4,514,20,8,664,322,0,0,382,263,61,440,139,1681,523,1158,72,72," NY",-73.5540616,40.7272159
"51","2008","North Shore University Hospital","NASSAU",2399,22,5646,20,2,653,5386,761,1205,1580,644,0,3247,55,1030,5,889,6,20,2890,152,0,2,1424,975,81,1329,981,4213,3387,826,84,84," NY",-73.7012035,40.7754975
"52","2008","Plainview Hospital","NASSAU",644,0,1399,0,0,128,1345,175,311,349,265,78,755,10,308,0,233,4,13,572,85,0,0,346,298,6,479,156,1000,786,214,97,97," NY",-73.4787902,40.7749323
"53","2008","Eastern Niagara Hospital - Lockport Division","NIAGARA",184,0,419,0,0,0,395,10,83,71,142,73,235,0,72,0,89,2,3,75,53,0,0,112,72,11,158,15,210,176,34,30,30," NY",-78.6903098,43.1706128
"54","2008","Niagara Falls Memorial Medical Center","NIAGARA",212,0,447,0,0,59,352,28,71,149,194,0,235,0,85,0,56,0,3,111,38,0,0,127,85,49,130,33,211,140,71,81,81," NY",-79.0495359,43.0934707
"55","2014","St Peters Hospital","ALBANY",902,2,2653,2,0,59,2605,167,479,628,301,180,1751,62,424,0,117,4,6,1137,181,0,0,540,362,18,649,234,1994,1668,326,126,126," NY",-73.8038346,42.6559038
"56","2008","Mount St Marys Hospital and Health Center","NIAGARA",133,0,390,0,0,41,378,16,57,230,255,0,257,3,47,2,59,0,1,162,51,0,0,89,44,14,93,25,213,187,26,71,71," NY",-79.0330756,43.1537841
"57","2008","Eastern Niagara Hospital - Newfane Division","NIAGARA",22,1,91,1,0,8,76,26,29,24,64,1,69,1,11,0,15,0,0,33,6,0,0,12,10,0,21,1,41,32,9,31,31," NY",-78.7092799,43.2884617
"58","2014","Auburn Memorial Hospital","CAYUGA",111,0,407,0,0,15,402,136,56,108,119,286,292,1,63,0,17,1,1,128,31,0,0,49,62,3,99,9,286,237,49,5,5," NY",-76.5660529,42.9317335
"59","2008","Rome Memorial Hospital, Inc","ONEIDA",113,0,599,0,0,9,534,86,132,97,278,365,486,0,57,0,78,0,1,174,208,0,0,56,57,5,89,18,343,307,36,NA,NA,NA,NA,NA
"60","2008","Faxton-St Lukes Healthcare St Lukes Division","ONEIDA",842,1,2132,1,0,303,1991,260,415,401,829,0,1290,34,401,3,316,5,44,701,233,0,3,475,367,49,605,179,1192,802,390,36,36," NY",-75.2766254,43.096879
"61","2008","Community-General Hospital of Greater Syracuse","ONONDAGA",246,1,952,1,0,72,949,387,256,236,583,362,706,8,116,0,62,0,124,294,149,0,0,138,108,4,208,34,642,642,0,25,25," NY",-76.1474244,43.0481221
"62","2008","St Josephs Hospital Health Center","ONONDAGA",712,0,1993,0,0,18,1991,49,459,326,818,175,1281,13,289,3,165,12,2,578,405,0,1,436,276,48,576,88,1250,1185,65,122,122," NY",-75.9689088,41.1438275
"63","2008","Crouse Hospital","ONONDAGA",1431,5,4298,5,0,452,4193,297,1137,1013,1864,522,2867,87,680,17,370,0,7,1473,677,0,18,838,593,54,1203,174,2365,1804,561,29,29," NY",-76.138599,43.0414634
"64","2008","Geneva General Hospital","ONTARIO",184,18,644,18,0,73,586,160,103,136,280,0,460,10,84,0,26,0,1,187,106,0,0,110,74,11,138,35,434,381,53,39,39," NY",-76.988942,42.8770578
"65","2008","F F Thompson Hospital","ONTARIO",158,13,646,13,0,40,551,9,169,101,201,0,488,12,78,0,120,1,5,301,91,0,0,92,66,19,95,44,477,461,16,35,35," NY",-77.28973,42.876232
"66","2008","Orange Regional Medical Center-Middletown Campus","ORANGE",657,1,1702,1,0,109,1249,386,148,176,494,197,1045,12,342,1,151,57,33,381,205,0,0,327,330,21,426,102,1408,1105,303,92,92," NY",-74.3682079,41.4420519
"67","2008","Samaritan Hospital","RENSSELAER",175,6,470,6,0,35,456,101,92,89,127,129,295,3,67,1,60,1,17,112,60,0,1,111,64,7,131,35,241,175,66,104,104," NY",-73.6720969,42.7336275
"68","2008","St Anthony Community Hospital","ORANGE",279,0,570,0,0,10,547,229,185,297,41,0,291,1,110,0,88,0,2,215,28,0,0,170,109,4,89,186,444,295,149,115,115," NY",-74.357556,41.2612731
"69","2008","St Luke's Cornwall Hospital/Newburgh","ORANGE",396,0,1217,0,0,11,1212,26,76,149,578,110,821,26,203,1,144,5,16,443,70,0,0,219,177,27,277,89,832,293,539,123,123," NY",-74.0149005,41.5037064
"70","2008","Bon Secours Community Hospital","ORANGE",92,0,273,0,0,11,223,13,27,24,226,1,181,2,46,0,85,2,2,78,60,0,0,48,44,6,69,15,128,117,11,10,10," NY",-74.6818346,41.3676682
"71","2008","Medina Memorial Hospital","ORLEANS",45,3,137,2,1,23,100,10,15,28,78,0,92,0,14,0,11,0,3,45,2,0,0,31,14,5,28,11,57,50,7,62,62," NY",-78.397594,43.223863
"72","2008","Oswego Hospital","OSWEGO",217,1,692,1,0,45,675,1,62,33,131,148,475,6,118,1,36,2,3,84,172,0,0,105,112,29,164,22,375,330,45,93,93," NY",-76.5163805,43.4537948
"73","2008","Aurelia Osborn Fox Memorial Hospital","OTSEGO",126,0,414,0,0,20,381,14,61,204,257,0,288,1,63,0,73,3,45,42,114,0,3,64,62,32,88,6,286,224,62,6,6," NY",-75.0522916,42.4578897
"74","2008","Putnam Hospital Center","PUTNAM",148,0,453,0,0,62,395,159,123,92,90,128,305,6,70,1,122,1,177,40,28,1,2,84,64,1,137,7,356,244,112,98,98," NY",-73.6631781,41.3835529
"75","2008","Mary Imogene Bassett Hospital","OTSEGO",173,0,767,0,0,146,751,294,185,166,389,563,594,20,81,1,15,1,57,164,95,0,0,112,61,12,118,43,569,534,35,60,60," NY",-74.9235838,42.6956943
"76","2008","Seton Health System-St Mary's Campus","RENSSELAER",140,0,676,0,0,52,668,10,71,227,270,374,535,27,94,1,33,0,11,209,37,0,0,73,67,5,131,3,451,378,73,108,108," NY",-73.678571,42.7402126
"77","2008","Nyack Hospital","ROCKLAND",638,0,2018,0,0,46,1922,101,169,340,380,809,1380,40,319,1,180,1,101,513,348,0,0,359,279,20,500,118,1439,262,1177,87,87," NY",-73.9260511,41.0958962
"78","2008","Good Samaritan Hospital of Suffern","ROCKLAND",506,1,2606,1,0,72,1862,165,273,438,104,412,1751,33,174,1,530,0,7,1130,250,0,0,366,140,9,345,135,1129,1001,128,42,42," NY",-74.1339973,41.1114834
"79","2008","Claxton-Hepburn Medical Center","ST LAWRENCE",194,0,424,0,0,78,403,60,79,40,222,1,230,9,93,0,97,1,8,74,88,0,0,110,84,23,157,14,294,276,18,22,22," NY",-75.4995175,44.6912242
"80","2008","Massena Memorial Hospital","ST LAWRENCE",112,0,290,0,0,22,281,28,77,74,154,0,178,2,49,1,26,2,1,57,43,0,0,65,47,18,74,20,157,141,16,61,61," NY",-74.9090203,44.9361552
"81","2008","Saratoga Hospital","SARATOGA",278,0,879,0,0,87,853,83,95,159,111,214,599,0,105,0,267,1,42,412,62,0,0,173,105,8,180,89,654,581,73,106,106," NY",-73.7976256,43.0862373
"82","2008","Edward John Noble Hospital of Gouverneur","ST LAWRENCE",51,0,119,0,0,16,95,18,22,35,42,0,68,0,28,0,19,0,1,33,2,0,0,23,28,8,34,9,76,70,6,32,32," NY",-75.462993,44.3367281
"83","2008","Canton-Potsdam Hospital","ST LAWRENCE",129,0,317,0,0,50,313,3,68,46,112,37,188,2,42,1,50,5,1,44,70,0,0,89,40,8,100,21,212,208,4,16,16," NY",-74.9825672,44.6764714
"84","2008","St Clares Hospital","SCHENECTADY",56,1,350,1,0,11,349,91,71,83,154,57,294,6,32,3,15,1,2,101,12,0,0,30,26,3,43,10,224,184,40,119,119," NY",-73.9893502,40.7647028
"85","2008","Ellis Hospital - Bellevue Woman's Care Center Division","SCHENECTADY",673,18,2206,18,0,34,2186,32,368,590,1322,62,1533,30,301,4,128,1,62,12,185,0,0,402,271,13,621,15,1510,1209,301,33,33," NY",-73.8810494,42.7924655
"86","2008","Schuyler Hospital","SCHUYLER",74,0,181,0,0,18,124,3,45,36,88,57,107,0,18,2,5,0,0,18,37,0,0,56,18,5,62,7,135,129,6,107,107," NY",-76.8595452,42.352171
"87","2008","Corning Hospital","STEUBEN",152,2,387,2,0,32,377,64,89,83,202,0,235,7,76,0,36,4,3,118,28,0,0,83,69,20,111,21,220,174,46,27,27," NY",-77.0546903,42.1428521
"88","2008","St James Mercy Hospital","STEUBEN",89,9,290,9,0,33,256,1,81,99,237,0,201,3,52,0,38,0,0,56,51,0,0,40,49,1,80,8,182,165,17,120,120," NY",-75.9687902,41.1790804
"89","2008","Southampton Hospital","SUFFOLK",255,0,837,0,0,28,793,39,141,142,180,0,582,5,133,1,129,0,7,293,138,0,0,127,128,5,210,40,687,427,260,113,113," NY",-72.3801804,40.8851774
"90","2008","Brookhaven Memorial Hospital Medical Center Inc","SUFFOLK",118,0,434,0,0,310,430,109,1,1,426,0,316,11,68,0,183,0,0,14,192,0,0,61,57,7,96,15,306,281,25,13,13," NY",-72.9758017,40.7804971
"91","2008","Glens Falls Hospital","WARREN",477,3,1479,3,0,278,1435,88,348,791,922,729,1002,0,213,2,162,0,152,527,124,0,1,264,213,13,401,62,1044,924,120,40,40," NY",-73.6440058,43.3095164
"92","2008","St Charles Hospital","SUFFOLK",1007,7,2130,7,0,220,1586,101,298,181,557,79,1123,12,465,0,210,0,72,800,133,0,0,554,453,23,761,222,1421,1253,168,118,118," NY",-73.0609201,40.9466502
"93","2008","Huntington Hospital","SUFFOLK",780,13,1692,13,0,108,1617,130,349,459,253,8,912,4,384,0,285,3,7,749,41,0,2,400,380,13,558,204,1308,400,908,46,46," NY",-73.4164165,40.879622
"94","2008","Southside Hospital","SUFFOLK",1059,6,2611,5,1,572,2494,600,480,545,815,0,1552,3,567,2,509,13,15,511,505,0,0,495,564,64,878,106,2133,667,1466,114,114," NY",-73.241274,40.7255982
"95","2008","Good Samaritan Hospital Medical Center","SUFFOLK",1507,6,3051,6,0,5,3037,1500,287,709,3004,0,1544,20,606,8,544,7,43,1280,61,0,0,921,586,66,1025,403,1976,1251,725,41,41," NY",-73.2943189,40.6940832
"96","2008","Peconic Bay Medical Center","SUFFOLK",176,0,407,0,0,24,363,33,31,108,107,0,231,1,72,0,92,1,3,27,83,0,0,105,71,13,155,5,323,87,236,95,95," NY",-72.673446,40.9345059
"97","2008","St Catherine of Siena Hospital","SUFFOLK",806,0,1552,0,0,214,1074,542,409,538,219,0,746,10,335,1,139,0,12,541,137,0,0,481,325,27,269,510,1070,702,368,117,117," NY",-73.2231986,40.8683584
"98","2008","Catskill Regional Medical Center","SULLIVAN",226,1,691,0,1,20,688,34,50,116,295,37,465,10,126,0,184,1,5,188,74,0,0,110,116,20,182,24,467,251,216,18,18," NY",-74.7372731,41.7093868
"99","2008","Benedictine Hospital","ULSTER",137,0,340,0,0,11,326,19,63,58,66,28,203,2,58,0,45,0,8,5,111,0,0,81,56,0,136,1,222,184,38,8,8," NY",-74.0000631,41.9210262
"100","2008","Cayuga Medical Center at Ithaca","TOMPKINS",281,0,828,0,0,25,819,5,151,407,263,290,547,12,112,2,45,0,150,153,146,0,0,181,100,10,214,57,688,592,96,19,19," NY",-76.5380862,42.4688745
"101","2008","Kingston Hospital","ULSTER",175,1,415,1,0,11,414,5,46,173,137,52,240,1,88,1,37,0,56,0,15,0,0,88,87,4,171,0,269,223,46,50,50," NY",-73.9973608,41.9270367
"102","2008","Newark-Wayne Community Hospital","WAYNE",142,0,415,0,0,24,415,10,68,125,251,128,273,0,75,0,31,1,0,107,73,0,0,67,75,14,117,11,227,190,37,80,80," NY",-77.1020907,43.0605912
"103","2008","Hudson Valley Hospital Center","WESTCHESTER",256,0,828,0,0,13,634,89,160,167,257,316,572,23,140,1,112,0,10,230,74,0,0,139,117,2,182,41,743,402,341,45,45," NY",-73.892419,41.29265
"104","2010","University Hospital","SUFFOLK",1361,4,3835,2,2,321,2741,258,573,792,801,564,2453,77,692,11,106,30,33,1780,140,0,0,746,615,33,841,478,2393,724,1669,135,135," NY",-74.4802507,40.6794061
"105","2008","White Plains Hospital Center","WESTCHESTER",796,1,1929,1,0,35,1175,144,363,370,94,62,1133,0,323,2,363,3,235,585,182,0,0,473,323,17,662,116,1417,1219,198,140,140," NY",-73.768986,41.0260327
"106","2008","Sound Shore Medical Center of Westchester","WESTCHESTER",694,1,1631,1,0,244,1117,197,291,267,387,0,937,0,252,1,376,8,24,165,308,1,0,442,252,31,584,70,1420,647,773,111,111," NY",-73.7878157,40.912599
"107","2008","SJRH - St Johns Division","WESTCHESTER",788,0,1743,0,0,63,1719,195,399,699,755,0,955,7,301,1,395,1,8,318,318,0,1,494,294,17,705,64,1124,532,592,110,110," NY",-74.102728,40.8061405
"108","2008","Northern Westchester Hospital","WESTCHESTER",702,3,1699,3,0,4,1683,63,651,276,45,6,997,10,330,0,184,0,19,774,51,0,1,382,320,6,566,127,1571,1557,14,86,86," NY",-74.0056055,41.196535
"109","2008","Lawrence Hospital Center","WESTCHESTER",931,0,1667,0,0,20,749,118,166,240,126,0,736,5,351,0,243,2,221,119,91,0,0,585,346,3,891,27,1254,435,819,52,52," NY",-73.8370295,40.9423709
"110","2008","Phelps Memorial Hospital Assn","WESTCHESTER",281,1,1101,1,0,16,1063,20,133,154,110,571,820,2,146,0,51,3,6,178,117,0,0,137,144,3,205,53,1065,887,178,96,96," NY",-73.8630631,41.1087491
"111","2008","Westchester Medical Center","WESTCHESTER",327,5,786,4,1,102,697,26,73,105,143,0,459,39,162,6,49,6,15,207,31,0,0,204,123,36,227,63,343,159,184,138,138," NY",-73.80582,41.08878
"112","2008","Wyoming County Community Hospital","WYOMING",70,0,286,0,0,8,276,12,44,57,120,69,216,0,34,1,57,6,0,36,96,0,0,36,34,12,54,4,189,157,32,146,146," NY",-78.1309827,42.754231
"113","2008","Lutheran Medical Center","KINGS",1523,5,4566,NA,NA,280,4320,882,545,930,NA,26,3042,31,404,6,642,15,183,1573,819,0,6,1151,372,69,1074,364,3227,862,2365,58,58," NY",-74.0209235,40.6466634
"114","2008","Jacobi Medical Center","BRONX",553,15,2322,NA,NA,367,1288,305,306,348,NA,333,1767,34,129,13,56,18,13,595,114,0,3,458,95,36,296,170,1911,462,1449,47,47," NY",-73.8464133,40.8557535
"115","2008","Montefiore Medical Center - North Division","BRONX",670,4,1892,NA,NA,26,1058,49,150,76,NA,86,1222,10,167,21,153,10,53,492,275,0,0,513,157,21,470,177,966,189,777,69,69," NY",-73.8799255,40.8798864
"116","2008","Lincoln Medical & Mental Health Center","BRONX",666,8,2381,NA,NA,463,1685,299,336,371,NA,6,1713,45,224,17,193,13,10,278,273,0,0,487,179,29,424,165,1862,487,1375,55,55," NY",-73.9235258,40.8170308
"117","2008","St Barnabas Hospital","BRONX",198,1,1023,NA,NA,47,554,30,117,177,NA,199,610,20,44,2,61,15,5,241,63,0,0,176,22,12,94,77,662,146,516,116,116," NY",-73.8902908,40.8536538
"118","2008","Bronx-Lebanon Hospital Center - Concourse Division","BRONX",853,5,2793,NA,NA,480,1593,249,340,434,NA,234,1925,31,178,6,172,109,20,632,139,1,0,706,147,40,441,303,1235,173,1062,11,11," NY",-73.9110165,40.8434469
