"","ID","Place","lon","lat"
"102",102,"Rochester General Hospital, NY",-77.5878398,43.1924948
"103",103,"Rome Memorial Hospital, Inc, NY",-75.4449798,43.2291895
"104",104,"Samaritan Hospital, NY",-73.6720969,42.7336275
"105",105,"Samaritan Medical Center, NY",-75.9144928,43.9648367
"106",106,"Saratoga Hospital, NY",-73.7976256,43.0862373
"107",107,"Schuyler Hospital, NY",-76.8595452,42.352171
"108",108,"Seton Health System-St Mary's Campus, NY",-73.678571,42.7402126
"109",109,"Sisters of Charity Hospital, NY",-78.848085,42.9284109
"110",110,"SJRH - St Johns Division, NY",-74.1027303,40.7840866
"111",111,"Sound Shore Medical Center of Westchester, NY",-73.7878157,40.912599
"112",112,"South Nassau Communities Hospital, NY",-73.6304234,40.6518657
"113",113,"Southampton Hospital, NY",-72.3801804,40.8851774
"114",114,"Southside Hospital, NY",-73.241274,40.7255982
"115",115,"St Anthony Community Hospital, NY",-74.357556,41.2612731
"116",116,"St Barnabas Hospital, NY",-73.8902908,40.8536538
"117",117,"St Catherine of Siena Hospital, NY",-73.2231986,40.8683584
"118",118,"St Charles Hospital, NY",-73.0609201,40.9466502
"119",119,"St Clares Hospital, NY",-73.9893502,40.7647028
"120",120,"St James Mercy Hospital, NY",-77.7946199,42.3097621
"121",121,"St Johns Episcopal Hospital So Shore, NY",-73.7548578,40.5986319
"122",122,"St Josephs Hospital Health Center, NY",-76.1511363,43.0554104
"123",123,"St Luke's Cornwall Hospital/Newburgh, NY",-74.0149005,41.5037064
"124",124,"St Lukes Roosevelt Hospital Center - Roosevelt Hospital Division, NY",-73.961459,40.8054014
"125",125,"St Marys Hospital at Amsterdam, NY",-74.186919,42.9590091
"126",126,"St Peters Hospital, NY",-73.8038346,42.6559038
"127",127,"St. Johns Queens, NY",-73.7942112,40.7220627
"128",128,"Staten Island University Hosp-North, NY",-74.1502007,40.5795317
"129",129,"Statewide - All Hospitals, NY",-74.0059728,40.7127753
"130",130,"Strong Memorial Hospital, NY",-77.6256413,43.122593
"131",131,"SVCMC-St Vincents Manhattan, NY",-74.0010379,40.7375843
"132",132,"The Unity Hospital of Rochester, NY",-77.7052192,43.1925238
"133",133,"United Health Services Hospitals Inc. - Wilson Medical Center, NY",-75.9583893,42.1142391
"134",134,"United Memorial Medical Center North Street Campus, NY",-78.1787505,43.0054757
"135",135,"University Hospital, NY",-74.4802507,40.6794061
"136",136,"University Hospital of Brooklyn, NY",-73.9453265,40.6549969
"137",137,"Vassar Brothers Medical Center, NY",-73.935626,41.6933485
"138",138,"Westchester Medical Center, NY",-73.80582,41.08878
"139",139,"Westfield Memorial Hospital Inc, NY",-79.569879,42.3287322
"140",140,"White Plains Hospital Center, NY",-73.768986,41.0260327
"141",141,"Winthrop-University Hospital, NY",-73.643129,40.7407591
"142",142,"Woman's Christian Association, NY",-79.2336184,42.0915449
"143",143,"Women And Children's Hospital Of Buffalo, NY",-78.8751475,42.9098851
"144",144,"Woodhull Medical & Mental Health Center, NY",-73.9430003,40.6994152
"145",145,"Wyckoff Heights Medical Center, NY",-73.9174728,40.7042422
"146",146,"Wyoming County Community Hospital, NY",-78.1309827,42.754231
